product;price_variation
1;1
2;2
3;4
4;4
10;2
11;4
12;4
13;1
14;1
15;2
16;5
17;2
18;5
19;5
20;5
21;3
22;4
23;4
24;1
25;4
26;4
27;4
28;2
29;2
30;3
31;2
32;2
33;2
34;2
35;4
36;1
37;2
38;5
39;1
40;2
41;4
42;5
43;5
44;5
45;1
46;3
47;5
48;1
49;5
100;4
101;5
102;3
103;4
104;2
105;5
106;5
107;1
108;4
109;3
110;4
111;3
112;5
113;5
114;5
115;1
116;4
117;1
118;1
119;3
120;3
121;1
122;4
123;3
124;4
125;3
126;5
127;1
128;1
129;5
130;1
131;3
132;4
133;4
134;5
135;1
136;4
137;4
138;1
139;2
140;5
141;4
142;3
143;5
144;5
145;5
146;3
147;5
148;1
149;1
150;3
151;5
152;5
153;3
154;5
155;1
156;3
157;1
158;2
159;1
160;3
161;4
162;1
163;5
164;4
165;3
166;1
167;2
168;1
169;5
170;4
171;5
172;3
173;4
174;1
175;5
176;5
177;1
178;2
179;1
180;2
181;2
182;3
183;5
184;5
185;3
186;3
187;2
188;3
189;3
190;3
191;5
192;3
193;3
194;3
195;3
196;4
197;4
198;3
199;2
200;1
201;5
202;1
203;4
204;5
205;5
206;2
207;2
208;2
209;3
210;1
211;3
212;4
213;2
214;1
215;3
216;3
217;5
218;3
219;5
220;3
221;2
222;2
223;1
224;3
225;2
226;2
227;5
228;1
229;5
230;5
231;3
232;1
233;2
234;5
235;5
236;4
237;3
238;5
239;1
240;3
241;5
242;4
243;2
244;1
245;1
246;5
247;4
248;4
249;2
250;3
251;4
252;5
253;3
254;5
255;3
256;2
257;3
258;4
259;3
260;2
261;3
262;2
263;4
264;3
265;2
266;4
267;4
268;5
269;4
270;3
271;2
272;2
273;2
274;4
275;4
276;1
277;2
278;5
279;3
280;3
281;4
282;3
283;1
284;4
285;1
286;3
287;5
288;4
289;5
290;2
291;4
292;4
293;4
294;3
295;3
296;1
297;4
298;5
299;3
300;4
301;2
302;3
303;2
304;2
305;3
306;3
307;1
308;5
309;3
310;3
311;5
312;2
313;4
314;1
315;1
316;4
317;3
318;5
319;3
320;5
321;5
322;4
323;1
324;5
325;4
326;1
327;3
328;2
329;3
330;2
331;5
332;1
333;4
334;2
335;5
336;4
337;5
338;1
339;3
340;4
341;4
342;4
343;2
344;1
345;3
346;3
347;5
348;1
349;2
350;5
351;3
352;1
353;3
354;1
355;4
356;4
357;1
358;3
359;1
360;4
361;1
362;4
363;5
364;5
365;3
366;4
367;5
368;2
369;4
370;5
371;1
372;5
373;4
374;1
375;4
376;2
377;4
378;3
379;1
380;5
381;5
382;1
383;4
384;4
385;3
386;3
387;5
388;4
389;3
390;2
391;4
392;5
393;1
394;4
395;4
396;5
397;5
398;2
399;1
400;4
401;3
402;5
403;5
404;4
405;4
406;1
407;2
408;5
409;3
410;2
411;4
412;1
413;1
414;1
415;3
416;5
417;4
418;2
419;5
420;2
421;3
422;2
423;1
424;1
425;5
426;5
427;1
428;4
429;5
430;1
431;3
432;3
433;5
434;1
435;1
436;1
437;1
438;5
439;2
440;4
441;4
442;1
443;2
444;5
445;2
446;2
447;2
448;5
449;5
450;3
451;1
452;4
453;4
454;2
455;1
456;3
457;2
458;1
459;3
460;4
461;4
462;3
463;2
464;2
465;1
466;2
467;2
468;5
469;2
470;1
471;4
472;2
473;4
474;4
475;5
476;5
477;1
478;1
479;5
480;4
481;1
482;3
483;1
484;5
485;5
486;3
487;4
488;4
489;1
490;1
491;5
492;4
493;5
494;5
495;1
496;2
497;3
498;2
499;3
1000;3
1001;2
1002;1
1003;4
1004;1
1005;3
1006;1
1007;4
1008;5
1009;5
1010;4
1011;5
1012;3
1013;4
1014;5
1015;2
1016;3
1017;3
1018;3
1019;1
1020;1
1021;5
1022;5
1023;1
1024;5
1025;1
1026;4
1027;2
1028;2
1029;5
1030;3
1031;5
1032;3
1033;4
1034;3
1035;5
1036;4
1037;1
1038;1
1039;2
1040;3
1041;3
1042;3
1043;5
1044;4
1045;3
1046;1
1047;1
1048;1
1049;4
1050;5
1051;5
1052;5
1053;4
1054;1
1055;3
1056;1
1057;3
1058;2
1059;4
1060;5
1061;2
1062;2
1063;5
1064;3
1065;4
1066;5
1067;3
1068;2
1069;2
1070;5
1071;1
1072;3
1073;2
1074;3
1075;1
1076;3
1077;5
1078;2
1079;5
1080;2
1081;3
1082;3
1083;5
1084;4
1085;5
1086;5
1087;1
1088;3
1089;2
1090;3
1091;4
1092;5
1093;1
1094;4
1095;4
